data,explainer,scale,k,recall,precision,ndcg
CIFAR10,HDEXPLAIN,False,10,0.0,0.0,0.0
CIFAR10,HDEXPLAIN,False,20,0.02,0.1,0.022812825683395
CIFAR10,HDEXPLAIN,False,30,0.04,0.1333333333333333,0.043456849580109
CIFAR10,HDEXPLAIN,False,40,0.06,0.15,0.0620821022616972
CIFAR10,HDEXPLAIN,False,50,0.07,0.14,0.070501520831642
CIFAR10,HDEXPLAIN,False,60,0.1,0.1666666666666666,0.0951028230716726
CIFAR10,HDEXPLAIN,False,70,0.13,0.1857142857142857,0.1186154385145881
CIFAR10,HDEXPLAIN,False,80,0.14,0.175,0.1262593369365942
CIFAR10,HDEXPLAIN,False,90,0.14,0.1555555555555555,0.1262593369365942
CIFAR10,HDEXPLAIN,False,100,0.15,0.15,0.1334634332008025
CIFAR10,HDEXPLAIN,True,10,0.1,1.0,0.2169936843350081
CIFAR10,HDEXPLAIN,True,20,0.2,1.0,0.3362328212805096
CIFAR10,HDEXPLAIN,True,30,0.3,1.0,0.4375435812926453
CIFAR10,HDEXPLAIN,True,40,0.4,1.0,0.5296913427430939
CIFAR10,HDEXPLAIN,True,50,0.5,1.0,0.6159766672539753
CIFAR10,HDEXPLAIN,True,60,0.6,1.0,0.698072917482775
CIFAR10,HDEXPLAIN,True,70,0.7,1.0,0.7769697074735189
CIFAR10,HDEXPLAIN,True,80,0.8,1.0,0.8533112834821622
CIFAR10,HDEXPLAIN,True,90,0.9,1.0,0.927545698496354
CIFAR10,HDEXPLAIN,True,100,0.99,0.99,0.9927959037357916
CIFAR10,RPS,False,10,0.02,0.2,0.0297248169851944
CIFAR10,RPS,False,20,0.11,0.55,0.1356420507723747
CIFAR10,RPS,False,30,0.21,0.7,0.2369528107845104
CIFAR10,RPS,False,40,0.31,0.775,0.329100572234959
CIFAR10,RPS,False,50,0.41,0.82,0.4153858967458405
CIFAR10,RPS,False,60,0.51,0.85,0.4974821469746401
CIFAR10,RPS,False,70,0.61,0.8714285714285714,0.5763789369653841
CIFAR10,RPS,False,80,0.71,0.8875,0.6527205129740273
CIFAR10,RPS,False,90,0.8,0.8888888888888888,0.7195423962328821
CIFAR10,RPS,False,100,0.88,0.88,0.7776354480248746
CIFAR10,IF,True,10,0.0,0.0,0.0
CIFAR10,IF,True,20,0.0,0.0,0.0
CIFAR10,IF,True,30,0.06,0.2,0.0593429039828077
CIFAR10,IF,True,40,0.16,0.4,0.1514906654332562
CIFAR10,IF,True,50,0.26,0.52,0.2377759899441377
CIFAR10,IF,True,60,0.36,0.6,0.3198722401729372
CIFAR10,IF,True,70,0.46,0.6571428571428571,0.3987690301636812
CIFAR10,IF,True,80,0.56,0.7,0.4751106061723243
CIFAR10,IF,True,90,0.66,0.7333333333333333,0.5493450211865162
CIFAR10,IF,True,100,0.76,0.76,0.6217993226901621
CIFAR10,HDEXPLAIN,False,10,0.0,0.0,0.0
CIFAR10,HDEXPLAIN,False,20,0.02,0.1,0.0245903237907037
CIFAR10,HDEXPLAIN,False,30,0.04,0.1333333333333333,0.043963288584322
CIFAR10,HDEXPLAIN,False,40,0.06,0.15,0.0619779861709314
CIFAR10,HDEXPLAIN,False,50,0.08,0.16,0.0790380540681263
CIFAR10,HDEXPLAIN,False,60,0.1,0.1666666666666666,0.0952418248768285
CIFAR10,HDEXPLAIN,False,70,0.15,0.2142857142857142,0.134623828577128
CIFAR10,HDEXPLAIN,False,80,0.16,0.2,0.1423643640373898
CIFAR10,HDEXPLAIN,False,90,0.17,0.1888888888888888,0.1497393623707744
CIFAR10,HDEXPLAIN,False,100,0.2,0.2,0.1713206601852649
CIFAR10,HDEXPLAIN,True,10,0.1,1.0,0.2169936843350081
CIFAR10,HDEXPLAIN,True,20,0.2,1.0,0.3362328212805096
CIFAR10,HDEXPLAIN,True,30,0.3,1.0,0.4375435812926453
CIFAR10,HDEXPLAIN,True,40,0.4,1.0,0.5296913427430939
CIFAR10,HDEXPLAIN,True,50,0.5,1.0,0.6159766672539753
CIFAR10,HDEXPLAIN,True,60,0.6,1.0,0.698072917482775
CIFAR10,HDEXPLAIN,True,70,0.7,1.0,0.7769697074735189
CIFAR10,HDEXPLAIN,True,80,0.8,1.0,0.8533112834821622
CIFAR10,HDEXPLAIN,True,90,0.9,1.0,0.927545698496354
CIFAR10,HDEXPLAIN,True,100,0.99,0.99,0.9928271243134076
CIFAR10,RPS,False,10,0.08,0.8,0.1453558994437781
CIFAR10,RPS,False,20,0.17,0.85,0.2531419471264509
CIFAR10,RPS,False,30,0.27,0.9,0.3544527071385867
CIFAR10,RPS,False,40,0.37,0.925,0.4466004685890352
CIFAR10,RPS,False,50,0.47,0.94,0.5328857930999167
CIFAR10,RPS,False,60,0.57,0.95,0.6149820433287163
CIFAR10,RPS,False,70,0.67,0.9571428571428572,0.6938788333194603
CIFAR10,RPS,False,80,0.77,0.9625,0.7702204093281034
CIFAR10,RPS,False,90,0.85,0.9444444444444444,0.8295315673629924
CIFAR10,RPS,False,100,0.93,0.93,0.8874638630588297
CIFAR10,IF,True,10,0.0,0.0,0.0
CIFAR10,IF,True,20,0.0,0.0,0.0
CIFAR10,IF,True,30,0.07,0.2333333333333333,0.0696271421911267
CIFAR10,IF,True,40,0.17,0.425,0.1617749036415753
CIFAR10,IF,True,50,0.27,0.54,0.2480602281524567
CIFAR10,IF,True,60,0.37,0.6166666666666667,0.3301564783812563
CIFAR10,IF,True,70,0.47,0.6714285714285714,0.4090532683720003
CIFAR10,IF,True,80,0.57,0.7125,0.4853948443806434
CIFAR10,IF,True,90,0.67,0.7444444444444445,0.5596292593948351
CIFAR10,IF,True,100,0.77,0.77,0.6320835608984812
CIFAR10,HDEXPLAIN,False,10,0.0,0.0,0.0
CIFAR10,HDEXPLAIN,False,20,0.01,0.05,0.0110502817752373
CIFAR10,HDEXPLAIN,False,30,0.01,0.0333333333333333,0.0110502817752373
CIFAR10,HDEXPLAIN,False,40,0.03,0.075,0.0291918604359082
CIFAR10,HDEXPLAIN,False,50,0.08,0.16,0.0719873228902859
CIFAR10,HDEXPLAIN,False,60,0.12,0.2,0.1049282948705727
CIFAR10,HDEXPLAIN,False,70,0.15,0.2142857142857142,0.1284162794290946
CIFAR10,HDEXPLAIN,False,80,0.18,0.225,0.1515154238059078
CIFAR10,HDEXPLAIN,False,90,0.2,0.2222222222222222,0.1663234452337309
CIFAR10,HDEXPLAIN,False,100,0.22,0.22,0.1807637769457081
CIFAR10,HDEXPLAIN,True,10,0.1,1.0,0.2169936843350081
CIFAR10,HDEXPLAIN,True,20,0.2,1.0,0.3362328212805096
CIFAR10,HDEXPLAIN,True,30,0.3,1.0,0.4375435812926453
CIFAR10,HDEXPLAIN,True,40,0.4,1.0,0.5296913427430939
CIFAR10,HDEXPLAIN,True,50,0.5,1.0,0.6159766672539753
CIFAR10,HDEXPLAIN,True,60,0.6,1.0,0.698072917482775
CIFAR10,HDEXPLAIN,True,70,0.7,1.0,0.7769697074735189
CIFAR10,HDEXPLAIN,True,80,0.8,1.0,0.8533112834821622
CIFAR10,HDEXPLAIN,True,90,0.9,1.0,0.927545698496354
CIFAR10,HDEXPLAIN,True,100,0.98,0.98,0.9856387502883462
CIFAR10,RPS,False,10,0.02,0.2,0.0281820572817105
CIFAR10,RPS,False,20,0.1,0.5,0.1236418241748436
CIFAR10,RPS,False,30,0.2,0.6666666666666666,0.2249525841869794
CIFAR10,RPS,False,40,0.3,0.75,0.317100345637428
CIFAR10,RPS,False,50,0.4,0.8,0.4033856701483093
CIFAR10,RPS,False,60,0.5,0.8333333333333334,0.4854819203771091
CIFAR10,RPS,False,70,0.6,0.8571428571428571,0.564378710367853
CIFAR10,RPS,False,80,0.7,0.875,0.6407202863764963
CIFAR10,RPS,False,90,0.79,0.8777777777777778,0.7075980156259066
CIFAR10,RPS,False,100,0.89,0.89,0.7800523171295527
CIFAR10,IF,True,10,0.0,0.0,0.0
CIFAR10,IF,True,20,0.0,0.0,0.0
CIFAR10,IF,True,30,0.1,0.3333333333333333,0.1013107600121357
CIFAR10,IF,True,40,0.2,0.5,0.1934585214625843
CIFAR10,IF,True,50,0.3,0.6,0.2797438459734658
CIFAR10,IF,True,60,0.4,0.6666666666666666,0.3618400962022653
CIFAR10,IF,True,70,0.5,0.7142857142857143,0.4407368861930094
CIFAR10,IF,True,80,0.6,0.75,0.5170784622016524
CIFAR10,IF,True,90,0.7,0.7777777777777778,0.5913128772158441
CIFAR10,IF,True,100,0.8,0.8,0.6637671787194902
CIFAR10,HDEXPLAIN,False,10,0.0,0.0,0.0
CIFAR10,HDEXPLAIN,False,20,0.01,0.05,0.0129061751841782
CIFAR10,HDEXPLAIN,False,30,0.02,0.0666666666666666,0.0225461894808846
CIFAR10,HDEXPLAIN,False,40,0.03,0.075,0.0314604330047279
CIFAR10,HDEXPLAIN,False,50,0.05,0.1,0.0489081225988885
CIFAR10,HDEXPLAIN,False,60,0.07,0.1166666666666666,0.0651793987460826
