data,kernel,scale,coverage,hit_rate,execution_time
OCEA,RBF,False,0.6733333333333333,0.02,305.3138585090637
OCEA,IMQ,False,0.5733333333333334,0.01,304.3011085987091
OCEA,Linear,False,0.2066666666666666,0.01,32.67205739021301
OCEA,RBF,True,0.5566666666666666,0.36,21.617429971694943
OCEA,IMQ,True,0.9733333333333334,0.9,21.69792366027832
OCEA,Linear,True,0.6366666666666667,0.09,18.866371870040894
OCEA,RBF,False,0.65,0.01,303.78122544288635
OCEA,IMQ,False,0.57,0.07,304.0231420993805
OCEA,Linear,False,0.19,0.0,33.47393560409546
OCEA,RBF,True,0.56,0.36,21.92542719841004
OCEA,IMQ,True,0.97,0.92,21.685666799545288
OCEA,Linear,True,0.6,0.02,19.00127625465393
OCEA,RBF,False,0.6366666666666667,0.01,304.41902709007263
OCEA,IMQ,False,0.5966666666666667,0.05,304.47083711624146
OCEA,Linear,False,0.1633333333333333,0.0,33.326756715774536
OCEA,RBF,True,0.66,0.51,21.88812828063965
OCEA,IMQ,True,0.9733333333333334,0.9,21.99241423606873
OCEA,Linear,True,0.65,0.03,19.19150733947754
OCEA,RBF,False,0.71,0.05,305.6501157283783
OCEA,IMQ,False,0.61,0.0,305.0762469768524
OCEA,Linear,False,0.1333333333333333,0.0,33.582701683044434
OCEA,RBF,True,0.5566666666666666,0.36,21.93488883972168
OCEA,IMQ,True,0.9933333333333332,0.91,22.00963020324707
OCEA,Linear,True,0.64,0.11,18.952950477600098
OCEA,RBF,False,0.64,0.08,305.0974681377411
OCEA,IMQ,False,0.53,0.08,303.6765191555023
OCEA,Linear,False,0.15,0.01,32.81740665435791
OCEA,RBF,True,0.5733333333333334,0.36,21.91947841644287
OCEA,IMQ,True,0.9533333333333334,0.9,21.814314365386963
OCEA,Linear,True,0.5633333333333334,0.07,18.854108333587646
OCEA,RBF,False,0.6666666666666666,0.05,304.13983392715454
OCEA,IMQ,False,0.5833333333333334,0.06,304.8613591194153
OCEA,Linear,False,0.2266666666666666,0.0,33.357173442840576
OCEA,RBF,True,0.4733333333333333,0.26,21.75421524047852
OCEA,IMQ,True,0.9633333333333334,0.89,22.2153582572937
OCEA,Linear,True,0.5766666666666667,0.07,18.85100650787353
OCEA,RBF,False,0.6533333333333333,0.05,305.0063433647156
OCEA,IMQ,False,0.6133333333333333,0.06,304.6487805843353
OCEA,Linear,False,0.19,0.01,33.45956039428711
OCEA,RBF,True,0.5333333333333333,0.3,22.02387642860413
OCEA,IMQ,True,1.0,0.86,22.06592440605164
OCEA,Linear,True,0.5866666666666667,0.04,19.167153120040894
OCEA,RBF,False,0.6866666666666666,0.06,304.87962579727173
OCEA,IMQ,False,0.64,0.03,305.1011302471161
OCEA,Linear,False,0.1833333333333333,0.02,33.357231855392456
OCEA,RBF,True,0.6166666666666667,0.38,22.017578125
OCEA,IMQ,True,0.9933333333333332,0.91,21.8711998462677
OCEA,Linear,True,0.62,0.07,18.98557424545288
OCEA,RBF,False,0.6833333333333333,0.04,304.4545850753784
OCEA,IMQ,False,0.6433333333333333,0.04,304.8361496925354
OCEA,Linear,False,0.1733333333333333,0.01,33.03555631637573
OCEA,RBF,True,0.5133333333333333,0.29,21.9044291973114
OCEA,IMQ,True,0.9766666666666668,0.91,21.98589015007019
OCEA,Linear,True,0.5633333333333334,0.05,18.829694747924805
OCEA,RBF,False,0.6666666666666666,0.02,304.39078879356384
