data,kernel,scale,coverage,hit_rate,execution_time
SVHN,RBF,False,0.88,0.79,16.642900705337524
SVHN,RBF,False,0.88,0.79,16.461124181747437
SVHN,IMQ,False,0.95,1.0,16.632077932357788
SVHN,Linear,False,0.6,0.31,3.6413381099700928
SVHN,RBF,True,0.9833333333333332,0.83,5.351334571838379
SVHN,IMQ,True,0.9866666666666668,1.0,5.4890782833099365
SVHN,Linear,True,0.4366666666666666,0.02,3.7129104137420654
SVHN,RBF,False,0.85,0.77,16.796659231185913
SVHN,RBF,False,0.85,0.77,17.92893075942993
SVHN,IMQ,False,0.9366666666666666,1.0,17.345078945159912
SVHN,Linear,False,0.6066666666666667,0.28,3.660337209701538
SVHN,RBF,True,0.9266666666666666,0.79,5.671874523162842
SVHN,IMQ,True,0.9666666666666668,1.0,6.316731691360474
SVHN,Linear,True,0.4233333333333333,0.02,3.301710605621338
SVHN,RBF,False,0.8666666666666667,0.82,17.528458833694458
SVHN,RBF,False,0.8666666666666667,0.82,17.388163566589355
SVHN,IMQ,False,0.9433333333333334,1.0,16.339110136032104
SVHN,Linear,False,0.57,0.24,3.73910927772522
SVHN,RBF,True,0.96,0.78,5.702591896057129
SVHN,IMQ,True,0.98,1.0,5.609522581100464
SVHN,Linear,True,0.41,0.0,3.662505388259888
SVHN,RBF,False,0.84,0.74,18.15427088737488
SVHN,RBF,False,0.84,0.74,17.40211510658264
SVHN,IMQ,False,0.9666666666666668,1.0,16.946879148483276
SVHN,Linear,False,0.6033333333333334,0.29,4.039224863052368
SVHN,RBF,True,0.9366666666666666,0.75,5.560550689697266
SVHN,IMQ,True,0.9766666666666668,1.0,5.486320495605469
SVHN,Linear,True,0.3766666666666666,0.04,3.1623268127441406
SVHN,RBF,False,0.8333333333333334,0.75,17.040493726730347
SVHN,RBF,False,0.8333333333333334,0.75,17.078007459640503
SVHN,IMQ,False,0.9233333333333332,1.0,16.553338766098022
SVHN,Linear,False,0.5833333333333334,0.22,3.6246144771575928
SVHN,RBF,True,0.9233333333333332,0.79,5.531210899353027
SVHN,IMQ,True,0.96,1.0,5.499762773513794
SVHN,Linear,True,0.4066666666666667,0.04,3.3258755207061768
SVHN,RBF,False,0.86,0.76,19.62674593925476
SVHN,RBF,False,0.86,0.76,21.71295809745789
SVHN,IMQ,False,0.9766666666666668,1.0,20.9241361618042
SVHN,Linear,False,0.5833333333333334,0.24,3.939150094985962
SVHN,RBF,True,0.97,0.84,6.54844856262207
SVHN,IMQ,True,0.9733333333333334,1.0,6.344808101654053
SVHN,Linear,True,0.3533333333333333,0.04,3.717515230178833
SVHN,RBF,False,0.8466666666666667,0.73,21.44115734100341
SVHN,RBF,False,0.8466666666666667,0.73,20.36049127578736
SVHN,IMQ,False,0.9666666666666668,1.0,17.266223907470703
SVHN,Linear,False,0.67,0.33,3.648998975753784
SVHN,RBF,True,0.9566666666666668,0.82,5.373332262039185
