data,kernel,scale,coverage,hit_rate,execution_time
MRI,RBF,False,0.7133333333333334,0.63,32.12626552581787
MRI,IMQ,False,0.72,0.62,32.21367883682251
MRI,Linear,False,0.32,0.11,6.457237243652344
MRI,RBF,True,0.81,0.52,5.265186548233032
MRI,IMQ,True,0.8066666666666666,0.55,5.263415336608887
MRI,Linear,True,0.1133333333333333,0.05,5.009047269821167
MRI,RBF,False,0.6833333333333333,0.53,32.23225736618042
MRI,IMQ,False,0.7,0.53,32.1024181842804
MRI,Linear,False,0.25,0.1,6.483853101730347
MRI,RBF,True,0.8133333333333334,0.58,5.274070739746094
MRI,IMQ,True,0.8066666666666666,0.62,5.235515594482422
MRI,Linear,True,0.0966666666666666,0.03,5.037494897842407
MRI,RBF,False,0.69,0.48,32.23575973510742
MRI,IMQ,False,0.7,0.53,32.21232390403748
MRI,Linear,False,0.2633333333333333,0.12,6.454219579696655
MRI,RBF,True,0.7866666666666666,0.48,5.281930923461914
MRI,IMQ,True,0.8,0.59,5.307125091552734
MRI,Linear,True,0.0833333333333333,0.02,5.011069536209106
MRI,RBF,False,0.6633333333333333,0.54,32.10222935676575
MRI,IMQ,False,0.66,0.56,32.3000602722168
MRI,Linear,False,0.26,0.12,6.534075021743774
MRI,RBF,True,0.79,0.53,5.322701692581177
MRI,IMQ,True,0.7866666666666666,0.6,5.342025995254517
MRI,Linear,True,0.1133333333333333,0.04,4.990348100662232
MRI,RBF,False,0.7266666666666667,0.53,32.36067485809326
MRI,IMQ,False,0.74,0.55,32.21660828590393
MRI,Linear,False,0.29,0.14,6.471540212631226
MRI,RBF,True,0.7666666666666667,0.57,5.281318426132202
MRI,IMQ,True,0.7933333333333333,0.62,5.287585020065308
MRI,Linear,True,0.0966666666666666,0.02,5.0185205936431885
MRI,RBF,False,0.6633333333333333,0.55,32.22013330459595
MRI,IMQ,False,0.6766666666666666,0.54,32.29030561447144
MRI,Linear,False,0.2766666666666666,0.12,6.549102544784546
MRI,RBF,True,0.8,0.59,5.322172403335571
MRI,IMQ,True,0.8,0.68,5.303881168365479
MRI,Linear,True,0.0966666666666666,0.03,5.060102939605713
MRI,RBF,False,0.7166666666666667,0.55,32.391499519348145
MRI,IMQ,False,0.74,0.55,32.2237012386322
MRI,Linear,False,0.2566666666666666,0.14,6.50707483291626
MRI,RBF,True,0.7833333333333333,0.52,5.33393931388855
MRI,IMQ,True,0.8033333333333333,0.62,5.301054000854492
MRI,Linear,True,0.0966666666666666,0.03,4.996300935745239
MRI,RBF,False,0.7133333333333334,0.55,32.32241177558899
MRI,IMQ,False,0.7266666666666667,0.58,32.19633388519287
MRI,Linear,False,0.2566666666666666,0.12,6.463222026824951
MRI,RBF,True,0.78,0.59,5.310071468353272
MRI,IMQ,True,0.81,0.69,5.321229934692383
MRI,Linear,True,0.1066666666666666,0.01,5.017372608184815
MRI,RBF,False,0.6933333333333334,0.53,32.235692262649536
MRI,IMQ,False,0.71,0.55,32.34836411476135
MRI,Linear,False,0.2766666666666666,0.13,6.44118857383728
MRI,RBF,True,0.7533333333333333,0.56,5.302013635635376
MRI,IMQ,True,0.8066666666666666,0.65,5.324204683303833
MRI,Linear,True,0.09,0.02,5.018849611282349
MRI,RBF,False,0.6666666666666666,0.52,32.35291004180908
MRI,IMQ,False,0.66,0.55,32.277639865875244
MRI,Linear,False,0.3033333333333333,0.09,6.419138193130493
MRI,RBF,True,0.7733333333333333,0.48,5.291695594787598
MRI,IMQ,True,0.79,0.62,5.25617790222168
MRI,Linear,True,0.1066666666666666,0.02,5.017358779907227
MRI,RBF,False,0.7333333333333333,0.59,32.16734194755554
MRI,IMQ,False,0.7566666666666667,0.59,32.263855934143066
MRI,Linear,False,0.2566666666666666,0.13,6.472325325012207
MRI,RBF,True,0.8233333333333334,0.62,5.2272279262542725
MRI,IMQ,True,0.8533333333333334,0.67,5.254471063613892
MRI,Linear,True,0.1033333333333333,0.01,4.965174674987793
MRI,RBF,False,0.66,0.56,32.147963762283325
MRI,IMQ,False,0.7066666666666667,0.61,32.241066217422485
MRI,Linear,False,0.2533333333333333,0.15,6.395374298095703
MRI,RBF,True,0.7766666666666666,0.56,5.260348796844482
MRI,IMQ,True,0.79,0.7,5.2361695766448975
MRI,Linear,True,0.1,0.02,4.954863786697388
MRI,RBF,False,0.69,0.49,32.12393665313721
MRI,IMQ,False,0.6966666666666667,0.52,32.30048441886902
MRI,Linear,False,0.3,0.13,6.542393684387207
MRI,RBF,True,0.8466666666666667,0.59,5.292070627212524
MRI,IMQ,True,0.8666666666666667,0.67,5.273001670837402
MRI,Linear,True,0.1066666666666666,0.02,5.039575576782227
MRI,RBF,False,0.67,0.56,32.26332902908325
MRI,IMQ,False,0.67,0.57,32.24432897567749
MRI,Linear,False,0.2566666666666666,0.1,6.51765251159668
MRI,RBF,True,0.76,0.51,5.2470691204071045
MRI,IMQ,True,0.8033333333333333,0.63,5.3220298290252686
MRI,Linear,True,0.0966666666666666,0.01,5.006940364837647
MRI,RBF,False,0.7266666666666667,0.55,32.291550159454346
MRI,IMQ,False,0.74,0.56,32.27562236785889
MRI,Linear,False,0.27,0.15,6.441594362258911
MRI,RBF,True,0.7933333333333333,0.65,5.293303966522217
MRI,IMQ,True,0.8066666666666666,0.71,5.338898181915283
MRI,Linear,True,0.10666666666666667,0.02,5.059344291687012
