data,temperature,scale,coverage,hit_rate,execution_time
SVHN,0.03,True,0.9866666666666668,0.97,8.093262910842896
SVHN,0.06,True,0.9866666666666668,0.95,8.582426071166992
SVHN,0.1,True,0.9866666666666668,0.89,7.918363332748413
SVHN,0.3,True,0.98,0.88,9.031200170516968
SVHN,0.6,True,0.9833333333333332,0.86,7.937896966934204
SVHN,1.0,True,0.9833333333333332,0.83,8.16025447845459
SVHN,3.0,True,0.9766666666666668,0.7,8.009560823440552
SVHN,6.0,True,0.9633333333333334,0.61,8.30723524093628
SVHN,0.03,True,0.9633333333333334,0.96,8.094330310821533
SVHN,0.06,True,0.9666666666666668,0.95,9.49034309387207
SVHN,0.1,True,0.9533333333333334,0.86,8.543883323669434
SVHN,0.3,True,0.9333333333333332,0.83,8.216820001602173
SVHN,0.6,True,0.93,0.81,8.647034645080566
SVHN,1.0,True,0.9266666666666666,0.79,8.167393207550049
SVHN,3.0,True,0.9,0.66,8.150396585464478
SVHN,6.0,True,0.9,0.59,7.603266954421997
SVHN,0.03,True,0.9866666666666668,0.97,8.138850688934326
SVHN,0.06,True,0.9733333333333334,0.9,8.77019476890564
SVHN,0.1,True,0.97,0.84,8.900680303573608
SVHN,0.3,True,0.9733333333333334,0.82,7.469944715499878
SVHN,0.6,True,0.9666666666666668,0.8,8.294362783432007
SVHN,1.0,True,0.96,0.78,8.857440948486328
SVHN,3.0,True,0.94,0.64,8.559880256652832
SVHN,6.0,True,0.9333333333333332,0.56,8.56876802444458
SVHN,0.03,True,0.97,0.91,7.920711994171143
SVHN,0.06,True,0.9633333333333334,0.88,8.323238611221313
SVHN,0.1,True,0.9533333333333334,0.83,8.287426948547363
SVHN,0.3,True,0.94,0.8,8.41023874282837
SVHN,0.6,True,0.94,0.79,9.30507493019104
SVHN,1.0,True,0.9366666666666666,0.75,8.807466745376587
SVHN,3.0,True,0.91,0.65,7.94117259979248
SVHN,6.0,True,0.8966666666666666,0.55,4.38939380645752
SVHN,0.03,True,0.9633333333333334,0.99,8.604089498519897
SVHN,0.06,True,0.9633333333333334,0.93,8.533472299575806
SVHN,0.1,True,0.9433333333333334,0.89,7.886932134628296
SVHN,0.3,True,0.9366666666666666,0.84,8.756991624832153
SVHN,0.6,True,0.93,0.83,8.330051898956299
SVHN,1.0,True,0.9233333333333332,0.79,8.512012958526611
SVHN,3.0,True,0.9266666666666666,0.6,8.628007888793945
SVHN,6.0,True,0.93,0.52,8.594458103179932
SVHN,0.03,True,0.9733333333333334,0.97,7.220964908599853
SVHN,0.06,True,0.9733333333333334,0.96,9.027852296829224
SVHN,0.1,True,0.9733333333333334,0.92,8.847442626953125
SVHN,0.3,True,0.9833333333333332,0.88,7.757891178131103
SVHN,0.6,True,0.97,0.85,8.66825556755066
SVHN,1.0,True,0.97,0.84,4.594793081283569
SVHN,3.0,True,0.9566666666666668,0.71,8.12385630607605
SVHN,6.0,True,0.95,0.6,7.250555038452148
SVHN,0.03,True,0.98,0.98,8.15683364868164
SVHN,0.06,True,0.9766666666666668,0.95,8.065489053726196
SVHN,0.1,True,0.9766666666666668,0.93,7.901456594467163
SVHN,0.3,True,0.97,0.87,8.136443376541138
SVHN,0.6,True,0.9633333333333334,0.86,8.386396408081055
SVHN,1.0,True,0.9566666666666668,0.82,6.757856845855713
SVHN,3.0,True,0.95,0.64,8.482667922973633
SVHN,6.0,True,0.95,0.55,8.263779401779175
SVHN,0.03,True,0.96,0.96,9.610824584960938
SVHN,0.06,True,0.9533333333333334,0.93,7.050601005554199
SVHN,0.1,True,0.9533333333333334,0.87,6.578579664230347
SVHN,0.3,True,0.9266666666666666,0.8,8.356297254562378
SVHN,0.6,True,0.93,0.76,4.374330759048462
SVHN,1.0,True,0.93,0.75,7.95442795753479
SVHN,3.0,True,0.91,0.59,7.711628437042236
SVHN,6.0,True,0.8966666666666666,0.53,7.938528060913086
SVHN,0.03,True,0.97,0.93,7.856225967407227
SVHN,0.06,True,0.9733333333333334,0.9,7.691696643829346
SVHN,0.1,True,0.9666666666666668,0.88,7.756912231445312
SVHN,0.3,True,0.9533333333333334,0.88,7.407578468322754
SVHN,0.6,True,0.95,0.87,7.676254749298096
SVHN,1.0,True,0.95,0.84,8.218383312225342
SVHN,3.0,True,0.9333333333333332,0.64,7.691246032714844
SVHN,6.0,True,0.9266666666666666,0.56,8.79330587387085
SVHN,0.03,True,0.96,0.98,9.139716386795044
SVHN,0.06,True,0.95,0.96,9.068359375
SVHN,0.1,True,0.9433333333333334,0.89,4.765519142150879
SVHN,0.3,True,0.93,0.84,3.90208101272583
SVHN,0.6,True,0.92,0.82,4.330293416976929
SVHN,1.0,True,0.9166666666666666,0.8,4.101778507232666
SVHN,3.0,True,0.9,0.68,3.936049938201904
SVHN,6.0,True,0.9066666666666666,0.63,4.038089036941528
SVHN,0.03,True,0.9766666666666668,0.98,3.682424306869507
SVHN,0.06,True,0.9666666666666668,0.92,3.9509239196777344
SVHN,0.1,True,0.9566666666666668,0.88,3.753381729125977
SVHN,0.3,True,0.9433333333333334,0.85,3.7160074710845934
SVHN,0.6,True,0.9433333333333334,0.83,3.995311975479126
SVHN,1.0,True,0.9266666666666666,0.81,4.45649790763855
SVHN,3.0,True,0.9,0.61,3.835038423538208
SVHN,6.0,True,0.8833333333333333,0.49,3.9491260051727295
SVHN,0.03,True,0.9833333333333332,0.95,3.7047579288482666
SVHN,0.06,True,0.9733333333333334,0.9,3.740879535675049
SVHN,0.1,True,0.9633333333333334,0.85,3.919434547424317
SVHN,0.3,True,0.9466666666666668,0.81,4.354624271392822
SVHN,0.6,True,0.93,0.77,3.9535317420959473
SVHN,1.0,True,0.93,0.75,4.519708871841431
SVHN,3.0,True,0.9233333333333332,0.63,3.6986453533172607
SVHN,6.0,True,0.9266666666666666,0.59,3.7234277725219727
SVHN,0.03,True,0.97,0.96,3.961653470993042
SVHN,0.06,True,0.9633333333333334,0.9,4.088147163391113
SVHN,0.1,True,0.9533333333333334,0.85,3.6924662590026855
