data,kernel,scale,coverage,hit_rate,execution_time
CIFAR10,RBF,False,0.88,0.44,13.156354665756226
CIFAR10,IMQ,False,0.87,0.45,13.120903730392456
CIFAR10,Linear,False,0.7466666666666667,0.14,3.897153615951538
CIFAR10,RBF,True,0.2066666666666666,0.0,4.732222080230713
CIFAR10,IMQ,True,0.9366666666666666,0.14,4.810744047164917
CIFAR10,Linear,True,0.1166666666666666,0.0,3.2005951404571533
CIFAR10,RBF,False,0.8966666666666666,0.43,13.062958717346191
CIFAR10,IMQ,False,0.8866666666666667,0.43,13.084277868270874
CIFAR10,Linear,False,0.6833333333333333,0.14,3.830206871032715
CIFAR10,RBF,True,0.19,0.01,4.740297794342041
CIFAR10,IMQ,True,0.95,0.19,4.755849123001099
CIFAR10,Linear,True,0.12,0.01,3.1835148334503174
CIFAR10,RBF,False,0.8966666666666666,0.49,13.027961015701294
CIFAR10,IMQ,False,0.89,0.51,13.057371139526367
CIFAR10,Linear,False,0.6933333333333334,0.08,3.909928560256958
CIFAR10,RBF,True,0.2166666666666666,0.0,4.732477903366089
CIFAR10,IMQ,True,0.9633333333333334,0.11,4.805748701095581
CIFAR10,Linear,True,0.13,0.0,3.178773164749145
CIFAR10,RBF,False,0.8933333333333333,0.47,13.045725345611572
CIFAR10,IMQ,False,0.8866666666666667,0.48,13.087911367416382
CIFAR10,Linear,False,0.7133333333333334,0.22,3.8744125366210938
CIFAR10,RBF,True,0.2133333333333333,0.02,4.726263999938965
CIFAR10,IMQ,True,0.9633333333333334,0.2,4.801348686218262
CIFAR10,Linear,True,0.13,0.0,3.173044204711914
CIFAR10,RBF,False,0.8766666666666667,0.35,12.993760824203491
CIFAR10,IMQ,False,0.8766666666666667,0.33,13.059983491897585
CIFAR10,Linear,False,0.74,0.12,3.833036422729492
CIFAR10,RBF,True,0.2033333333333333,0.01,4.740535497665405
CIFAR10,IMQ,True,0.9633333333333334,0.11,4.789133787155151
CIFAR10,Linear,True,0.1233333333333333,0.0,3.1942403316497803
CIFAR10,RBF,False,0.9,0.4,12.995035648345947
CIFAR10,IMQ,False,0.8833333333333333,0.4,13.12327003479004
CIFAR10,Linear,False,0.6666666666666666,0.13,3.892304182052612
CIFAR10,RBF,True,0.2166666666666666,0.02,4.737752437591553
CIFAR10,IMQ,True,0.9466666666666668,0.13,4.8096888065338135
CIFAR10,Linear,True,0.1166666666666666,0.01,3.1816418170928955
CIFAR10,RBF,False,0.88,0.48,13.035269260406494
CIFAR10,IMQ,False,0.8733333333333333,0.5,13.121509075164797
CIFAR10,Linear,False,0.74,0.16,3.929075002670288
CIFAR10,RBF,True,0.21,0.02,4.727532863616943
CIFAR10,IMQ,True,0.9566666666666668,0.18,4.796358108520508
CIFAR10,Linear,True,0.13,0.03,3.16863751411438
CIFAR10,RBF,False,0.91,0.53,13.0728440284729
CIFAR10,IMQ,False,0.8966666666666666,0.52,13.118683576583862
CIFAR10,Linear,False,0.7466666666666667,0.21,3.835958957672119
CIFAR10,RBF,True,0.2366666666666666,0.01,4.715809345245361
CIFAR10,IMQ,True,0.9633333333333334,0.13,4.807377576828003
CIFAR10,Linear,True,0.1233333333333333,0.01,3.174626350402832
CIFAR10,RBF,False,0.8866666666666667,0.43,13.038610696792604
CIFAR10,IMQ,False,0.8833333333333333,0.43,13.09321641921997
CIFAR10,Linear,False,0.72,0.16,3.865442514419556
CIFAR10,RBF,True,0.2,0.02,4.731892824172974
CIFAR10,IMQ,True,0.95,0.18,4.812169790267944
CIFAR10,Linear,True,0.1266666666666666,0.02,3.170466184616089
CIFAR10,RBF,False,0.8533333333333334,0.4,13.00349736213684
CIFAR10,IMQ,False,0.8566666666666667,0.4,13.081193685531616
CIFAR10,Linear,False,0.7,0.15,3.89815902709961
CIFAR10,RBF,True,0.1966666666666666,0.02,4.755456209182739
CIFAR10,IMQ,True,0.9333333333333332,0.2,4.780017614364624
CIFAR10,Linear,True,0.12,0.01,3.2023277282714844
CIFAR10,RBF,False,0.89,0.42,13.049157619476318
CIFAR10,IMQ,False,0.88,0.43,13.053348302841188
CIFAR10,Linear,False,0.68,0.14,3.856722354888916
CIFAR10,RBF,True,0.2366666666666666,0.01,4.750403642654419
CIFAR10,IMQ,True,0.9633333333333334,0.2,4.789007425308228
CIFAR10,Linear,True,0.14,0.01,3.183334827423096
CIFAR10,RBF,False,0.9166666666666666,0.47,13.095205783843994
CIFAR10,IMQ,False,0.91,0.47,13.103018283843994
CIFAR10,Linear,False,0.7766666666666666,0.2,3.9164297580718994
CIFAR10,RBF,True,0.25,0.02,4.720447063446045
CIFAR10,IMQ,True,0.95,0.15,4.816828489303589
CIFAR10,Linear,True,0.1433333333333333,0.02,3.191968441009521
CIFAR10,RBF,False,0.8833333333333333,0.42,13.077653408050535
CIFAR10,IMQ,False,0.8833333333333333,0.44,13.075515508651732
CIFAR10,Linear,False,0.79,0.16,3.915082454681397
CIFAR10,RBF,True,0.2333333333333333,0.0,4.774155139923096
CIFAR10,IMQ,True,0.9633333333333334,0.17,4.816941022872925
CIFAR10,Linear,True,0.1266666666666666,0.0,3.170695781707764
CIFAR10,RBF,False,0.8933333333333333,0.46,13.055891513824465
CIFAR10,IMQ,False,0.8966666666666666,0.47,13.082173824310305
CIFAR10,Linear,False,0.7533333333333333,0.15,3.8049564361572266
CIFAR10,RBF,True,0.2233333333333333,0.0,4.763936519622803
CIFAR10,IMQ,True,0.97,0.19,4.758729934692383
CIFAR10,Linear,True,0.1233333333333333,0.0,3.1693856716156006
CIFAR10,RBF,False,0.9033333333333332,0.47,12.973381996154783
CIFAR10,IMQ,False,0.89,0.46,13.090939044952393
CIFAR10,Linear,False,0.7533333333333333,0.22,3.940396070480346
CIFAR10,RBF,True,0.26,0.04,4.729112386703491
CIFAR10,IMQ,True,0.95,0.14,4.805254697799683
CIFAR10,Linear,True,0.13333333333333333,0.03,3.1806087493896484
