data,temperature,scale,coverage,hit_rate,execution_time
OCEA,0.03,False,0.7166666666666667,1.0,304.3853032588959
OCEA,0.06,False,0.7166666666666667,0.98,304.72265553474426
OCEA,0.1,False,0.77,0.95,304.7312183380127
OCEA,0.3,False,0.7733333333333333,0.91,303.87956857681274
OCEA,0.6,False,0.79,0.91,304.28427481651306
OCEA,1.0,False,0.81,0.91,304.0883438587189
OCEA,3.0,False,0.7866666666666666,0.88,303.57724380493164
OCEA,6.0,False,0.7933333333333333,0.87,303.211501121521
OCEA,0.03,False,0.69,1.0,304.99328899383545
OCEA,0.06,False,0.7033333333333334,0.99,304.2162961959839
OCEA,0.1,False,0.7166666666666667,0.92,302.4935100078583
OCEA,0.3,False,0.7633333333333333,0.9,303.05127024650574
OCEA,0.6,False,0.7966666666666666,0.89,304.203640460968
OCEA,1.0,False,0.79,0.89,302.301784992218
OCEA,3.0,False,0.7433333333333333,0.87,303.1647481918335
OCEA,6.0,False,0.7266666666666667,0.85,302.81770277023315
OCEA,0.03,False,0.7266666666666667,1.0,303.1807532310486
OCEA,0.06,False,0.71,1.0,303.76500725746155
OCEA,0.1,False,0.76,0.96,302.7848951816559
OCEA,0.3,False,0.7833333333333333,0.93,302.96362042427063
OCEA,0.6,False,0.78,0.93,303.63699769973755
OCEA,1.0,False,0.78,0.93,302.6107928752899
OCEA,3.0,False,0.7633333333333333,0.92,303.26082038879395
OCEA,6.0,False,0.75,0.91,304.0881013870239
OCEA,0.03,False,0.72,1.0,303.115993976593
OCEA,0.06,False,0.73,0.98,304.5467278957367
OCEA,0.1,False,0.7866666666666666,0.97,303.7699909210205
OCEA,0.3,False,0.7866666666666666,0.92,303.24735736846924
OCEA,0.6,False,0.7733333333333333,0.91,303.6627993583679
OCEA,1.0,False,0.79,0.91,303.1765902042389
OCEA,3.0,False,0.77,0.9,303.11523175239563
OCEA,6.0,False,0.75,0.88,303.7010815143585
OCEA,0.03,False,0.6966666666666667,0.98,304.3725290298462
OCEA,0.06,False,0.6933333333333334,0.97,303.4037411212921
OCEA,0.1,False,0.74,0.95,302.5957980155945
OCEA,0.3,False,0.7866666666666666,0.89,302.92405247688293
OCEA,0.6,False,0.7966666666666666,0.89,303.2146122455597
OCEA,1.0,False,0.7666666666666667,0.88,304.0156452655792
OCEA,3.0,False,0.75,0.88,304.44620537757874
OCEA,6.0,False,0.7366666666666667,0.86,304.2344150543213
OCEA,0.03,False,0.7166666666666667,0.99,303.320764541626
OCEA,0.06,False,0.7233333333333334,0.98,302.6535723209381
OCEA,0.1,False,0.7466666666666667,0.91,304.4123258590698
OCEA,0.3,False,0.7866666666666666,0.87,303.4533407688141
OCEA,0.6,False,0.8066666666666666,0.84,304.2359571456909
OCEA,1.0,False,0.8,0.84,303.0650670528412
OCEA,3.0,False,0.7733333333333333,0.84,303.3555016517639
OCEA,6.0,False,0.74,0.84,304.7584476470947
OCEA,0.03,False,0.7266666666666667,1.0,304.15941858291626
OCEA,0.06,False,0.75,0.96,303.042142868042
OCEA,0.1,False,0.7633333333333333,0.92,304.2133650779724
OCEA,0.3,False,0.7866666666666666,0.9,304.62933921813965
OCEA,0.6,False,0.7866666666666666,0.87,303.4318845272064
OCEA,1.0,False,0.78,0.86,302.4699556827545
OCEA,3.0,False,0.77,0.84,303.54598116874695
OCEA,6.0,False,0.7466666666666667,0.82,303.4077515602112
OCEA,0.03,False,0.7433333333333333,0.98,303.1982450485229
OCEA,0.06,False,0.7366666666666667,0.95,304.36432933807373
OCEA,0.1,False,0.7966666666666666,0.92,303.11247873306274
OCEA,0.3,False,0.82,0.91,303.18056631088257
OCEA,0.6,False,0.84,0.91,302.95886182785034
OCEA,1.0,False,0.8166666666666667,0.91,302.4826409816742
OCEA,3.0,False,0.7933333333333333,0.85,302.20250844955444
OCEA,6.0,False,0.7666666666666667,0.84,304.13412952423096
OCEA,0.03,False,0.75,0.99,302.214866399765
OCEA,0.06,False,0.7466666666666667,0.96,303.7543652057648
OCEA,0.1,False,0.79,0.94,303.3741602897644
OCEA,0.3,False,0.8133333333333334,0.92,304.4886314868927
OCEA,0.6,False,0.8233333333333334,0.9,304.0606801509857
OCEA,1.0,False,0.7933333333333333,0.9,303.7481164932251
OCEA,3.0,False,0.7666666666666667,0.87,302.8225977420807
OCEA,6.0,False,0.7366666666666667,0.83,302.4942145347595
OCEA,0.03,False,0.6933333333333334,1.0,303.38219261169434
OCEA,0.06,False,0.71,1.0,303.42541790008545
OCEA,0.1,False,0.7633333333333333,0.96,303.108815908432
OCEA,0.3,False,0.7966666666666666,0.9,304.62138414382935
OCEA,0.6,False,0.78,0.87,304.33440947532654
OCEA,1.0,False,0.7766666666666666,0.86,302.23554491996765
OCEA,3.0,False,0.7633333333333333,0.86,303.4384763240814
OCEA,6.0,False,0.75,0.84,303.8933391571045
OCEA,0.03,False,0.72,0.99,302.6881732940674
OCEA,0.06,False,0.7133333333333334,0.99,302.98446249961853
OCEA,0.1,False,0.7566666666666667,0.97,303.98745608329773
OCEA,0.3,False,0.7966666666666666,0.93,303.8136429786682
OCEA,0.6,False,0.7933333333333333,0.91,303.1103208065033
OCEA,1.0,False,0.8033333333333333,0.91,304.4865343570709
OCEA,3.0,False,0.76,0.9,303.0010850429535
OCEA,6.0,False,0.7433333333333333,0.87,303.4713010787964
OCEA,0.03,False,0.73,1.0,303.66407322883606
OCEA,0.06,False,0.75,1.0,302.0269773006439
OCEA,0.1,False,0.77,0.92,302.84311389923096
OCEA,0.3,False,0.7866666666666666,0.82,304.4145357608795
OCEA,0.6,False,0.7933333333333333,0.82,303.1040337085724
OCEA,1.0,False,0.8,0.82,303.6108705997467
OCEA,3.0,False,0.7766666666666666,0.81,303.01917266845703
OCEA,6.0,False,0.7633333333333333,0.81,302.8866937160492
OCEA,0.03,False,0.7266666666666667,1.0,303.2966341972351
OCEA,0.06,False,0.7266666666666667,0.97,302.9475374221802
OCEA,0.1,False,0.7466666666666667,0.95,303.754522562027
OCEA,0.3,False,0.7866666666666666,0.89,304.84985995292664
OCEA,0.6,False,0.7966666666666666,0.89,304.55557799339294
OCEA,1.0,False,0.79,0.88,303.4133217334748
OCEA,3.0,False,0.76,0.88,302.6864204406738
OCEA,6.0,False,0.7566666666666667,0.84,303.27294921875
OCEA,0.03,False,0.6933333333333334,1.0,303.9541554450989
OCEA,0.06,False,0.7133333333333334,1.0,302.7534272670746
OCEA,0.1,False,0.7466666666666667,0.97,304.42002272605896
OCEA,0.3,False,0.7833333333333333,0.92,303.6591186523437
OCEA,0.6,False,0.7966666666666666,0.9,302.8349540233612
OCEA,1.0,False,0.8,0.9,302.9193711280823
OCEA,3.0,False,0.7866666666666666,0.9,303.9457311630249
OCEA,6.0,False,0.77,0.87,304.33564376831055
OCEA,0.03,False,0.7066666666666667,0.98,302.6659097671509
OCEA,0.06,False,0.71,0.97,302.67270064353943
OCEA,0.1,False,0.7433333333333333,0.96,301.9795377254486
OCEA,0.3,False,0.7566666666666667,0.94,303.7877140045166
OCEA,0.6,False,0.7433333333333333,0.92,303.8813738822937
OCEA,1.0,False,0.76,0.92,303.73065972328186
OCEA,3.0,False,0.72,0.9,303.66408252716064
OCEA,6.0,False,0.6766666666666666,0.87,303.9724018573761
OCEA,0.03,False,0.7066666666666667,0.99,305.24797534942627
OCEA,0.06,False,0.71,0.96,303.4562277793884
OCEA,0.1,False,0.7466666666666667,0.92,303.6035120487213
OCEA,0.3,False,0.75,0.87,303.1271996498108
OCEA,0.6,False,0.7766666666666666,0.85,303.81471967697144
